,commissioning_date,objectid,project_size,total_project_capacity_mw,turbine_rated_capacity_k_w,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,total_cumu_power
0,1995,1786,1,0.6,600.0,43.0,0,50.0,0,44.312925,-81.548357,0.6
1,1999,9311,132,99.0,1500.0,96.5,0,105.0,0,97.88597648266659,-134.2783882981462,99.6
2,2000,6698,2,0.81,660.0,47.0,0,37.0,0,60.748818,-135.229274,100.41
3,2001,15527,116,113.74,7640.0,428.0,0,452.0,0,383.0386307135043,-789.444294975036,214.14999999999998
4,2002,3300,12,13.379999999999999,3060.0,175.0,0,180.0,1,137.8501280197728,-261.26755734813173,227.52999999999997
5,2003,13092,133,89.31,5070.0,239.0,0,242.0,0,190.31614809008857,-365.41295690579017,316.84
6,2004,6394,45,44.85,5975.0,281.0,0,281.5,0,243.19817858765907,-461.71067640503003,361.69
7,2005,16976,81,141.39999999999998,7400.0,384.0,0,375.0,2,277.6819235291823,-383.6070213186569,503.09
8,2006,32944,470,702.5500000000001,19250.0,1009.0,0,1033.0,3,690.9743359029391,-1194.0971079364688,1205.64
9,2007,18767,155,280.1,12100.0,467.0,0,483.0,0,281.9567781006706,-468.3151695162552,1485.7400000000002
10,2008,26772,349,662.1999999999999,21200.0,919.0,0,910.0,3,485.5601033484862,-833.4770719382735,2147.94
11,2009,34985,656,1135.4,33400.0,1269.0,0,1188.0,0,688.5833485301289,-1180.057287234931,3283.34
12,2010,40726,606,1104.35,42900.0,1755.0,0,1687.0,0,999.0558257751975,-1837.6807983709505,4387.6900000000005
13,2011,39985,589,1176.3000000000002,29550.0,1321.5,1,1208.0,0,703.904653563524,-1253.5154214991874,5563.990000000001
14,2012,42702,625,1168.02,32970.0,1362.3,0,1311.0,0,774.0742292955097,-1343.5806572205488,6732.01
15,2013,71351,631,1259.2099999999998,36651.0,1675.8000000000002,0,1691.0,3,912.8232227051642,-1446.69145972094,7991.22
16,2014,107639,1150,2329.31,72358.0,3312.5,0,3071.5,2,1549.8760997960567,-2644.8601893783084,10320.53
17,2015,130448,847,1718.9399999999998,85497.0,3943.0,0,3742.0,3,1913.07745418197,-3028.035606116761,12039.470000000001
18,2016,63936,266,689.13,40893.0,1868.5,0,1823.5,0,852.9074804138226,-1354.3377944319739,12728.6
19,2017,30762,141,373.65000000000003,29550.0,1252.5,0,1226.0,1,600.807392512034,-1057.2160713359872,13102.25
20,2018,29265,230,722.05,21700.0,766.0,0,713.0,0,334.97273518947617,-501.41239994163504,13824.3
21,2019,12184,101,335.0,9200.0,359.0,0,316.0,0,151.568166,-304.86550439999996,14159.3
